KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53352333,0,,,64,31,33,0,0,0,64,31,33,23,12,11,63,31,32,62,30,32,41,19,22,19,8,11,5,3,2,0,0,0,0,0,0,30,30,6,17,4,3,0,0,0,24,19,5,0,27,0,6,10
53352334,1,,53352335,82,39,43,1,0,1,88,43,45,46,24,22,87,42,45,86,41,45,42,19,23,23,7,16,8,3,5,1,0,1,0,0,0,36,36,7,20,7,4,1,0,0,32,24,8,0,30,0,7,10
53352335,2,53352334,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352336,0,,,13,7,6,0,0,0,13,7,6,5,4,1,13,7,6,13,7,6,8,3,5,3,0,3,1,0,1,0,0,0,0,0,0,5,5,0,2,3,0,0,0,0,5,4,1,0,5,0,0,0
53352337,0,,,14,8,6,2,2,0,12,6,6,6,3,3,12,6,6,11,6,5,6,3,3,4,2,2,2,1,1,0,0,0,0,0,0,4,4,1,1,0,0,1,1,0,3,1,2,0,4,0,1,1
53352341,2,53352330,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352343,0,,,9,4,5,0,0,0,9,4,5,1,0,1,9,4,5,9,4,5,8,4,4,4,2,2,1,1,0,0,0,0,0,0,0,4,4,0,3,1,0,0,0,0,4,3,1,0,4,0,0,3
53352347,0,,,30,14,16,1,0,1,29,14,15,11,6,5,27,13,14,27,13,14,18,8,10,15,6,9,4,2,2,1,1,0,0,0,0,14,14,4,5,4,1,0,0,0,10,10,0,0,12,0,4,3
53352356,0,,,47,24,23,5,4,1,42,20,22,29,13,16,40,20,20,40,20,20,13,7,6,8,4,4,5,3,2,0,0,0,0,0,0,16,16,2,5,4,3,1,1,0,14,11,3,2,10,0,2,2
53352357,0,,,50,22,28,8,4,4,42,18,24,21,10,11,39,17,22,39,17,22,21,8,13,13,6,7,2,0,2,0,0,0,1,0,1,15,15,1,6,3,1,2,0,2,14,9,5,0,12,0,1,4
53352361,0,,,127,65,62,3,1,2,124,64,60,61,32,29,122,62,60,122,62,60,63,32,31,30,11,19,12,4,8,3,0,3,0,0,0,50,50,16,11,13,5,2,2,1,34,16,18,0,41,0,12,6
53352368,0,,,57,26,31,12,5,7,45,21,24,18,10,8,45,21,24,45,21,24,27,11,16,10,3,7,4,0,4,1,0,1,0,0,0,18,18,3,9,1,0,1,2,2,15,10,5,1,16,0,2,4
53352372,0,,,123,64,59,7,3,4,116,61,55,54,30,24,114,61,53,113,60,53,62,31,31,37,18,19,14,5,9,1,1,0,0,0,0,54,54,10,29,6,8,1,0,0,44,37,7,2,42,0,8,16
53352376,0,,,63,29,34,6,2,4,57,27,30,26,14,12,56,26,30,56,26,30,31,13,18,19,7,12,7,2,5,0,0,0,0,0,0,22,22,3,5,8,4,2,0,0,19,9,10,0,19,0,2,3
53352377,0,,,10,4,6,0,0,0,10,4,6,2,1,1,10,4,6,10,4,6,8,3,5,4,2,2,1,1,0,0,0,0,0,0,0,6,6,2,4,0,0,0,0,0,4,4,0,0,6,0,2,2
53352384,0,,,207,97,110,16,8,8,191,89,102,107,56,51,187,86,101,184,85,99,84,33,51,44,12,32,21,3,18,2,1,1,0,0,0,65,65,8,16,20,11,2,5,3,57,33,24,4,53,0,7,5
53352386,0,,,54,26,28,3,3,0,51,23,28,24,11,13,51,23,28,49,22,27,27,12,15,11,6,5,1,1,0,0,0,0,0,0,0,25,25,6,12,4,3,0,0,0,18,16,2,0,18,0,4,6
