KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
53386320,0,,,332,154,178,22,10,12,310,144,166,174,84,90,296,139,157,136,60,76,73,29,44,1,0,1,137,137,27,57,31,14,6,2,0,110,95,15,4,92,0,23,29
53386321,0,,,606,288,318,114,60,54,492,228,264,319,154,165,462,214,248,173,74,99,78,35,43,6,1,5,222,222,36,85,38,39,15,8,1,186,157,29,29,115,0,24,43
53386322,0,,,121,63,58,9,4,5,112,59,53,61,35,26,108,59,49,51,24,27,21,9,12,3,2,1,59,59,22,21,10,3,3,0,0,37,30,7,2,33,0,7,16
53386323,0,,,191,96,95,39,16,23,152,80,72,105,54,51,145,74,71,47,26,21,15,5,10,1,0,1,74,73,12,32,13,9,6,1,0,61,58,3,14,26,0,3,17
53386324,2,53386325,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53386325,1,,53386324,160,78,82,11,1,10,151,78,73,72,41,31,146,74,72,79,37,42,46,18,28,1,0,1,71,71,23,24,16,4,3,2,0,49,43,6,6,56,0,21,11
53386326,0,,,11,5,6,0,0,0,11,5,6,7,3,4,11,5,6,4,2,2,3,1,2,0,0,0,4,4,0,3,0,0,1,0,0,4,4,0,0,2,0,0,1
53386330,0,,,443,209,234,37,17,20,406,192,214,235,122,113,387,181,206,171,70,101,105,36,69,0,0,0,176,175,50,52,33,24,8,5,3,124,98,26,10,110,1,33,29
53386331,0,,,551,265,286,58,29,29,493,236,257,307,153,154,471,222,249,186,83,103,87,40,47,3,1,2,219,219,56,72,44,28,11,4,4,162,130,32,13,128,1,36,38
53386332,0,,,178,89,89,22,12,10,155,76,79,87,40,47,147,74,73,68,36,32,27,15,12,0,0,0,66,66,11,22,19,7,5,1,1,53,44,9,3,44,0,9,13
53386333,0,,,234,120,114,16,12,4,218,108,110,127,66,61,210,104,106,91,42,49,47,21,26,0,0,0,92,92,19,32,22,14,2,2,1,73,55,18,4,58,0,14,20
53386334,2,53386335,,7,2,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53386335,1,,53386334,28,18,10,2,2,0,33,18,15,16,9,7,33,18,15,17,9,8,11,7,4,0,0,0,14,14,6,7,2,1,1,0,0,11,7,4,2,13,0,5,4
53386340,0,,,192,96,96,12,7,5,180,89,91,87,44,43,174,88,86,93,45,48,47,19,28,3,2,1,86,86,31,29,15,5,2,2,2,54,46,8,4,62,0,20,19
53386341,0,,,46,20,26,5,2,3,41,18,23,27,14,13,37,15,22,14,4,10,4,0,4,0,0,0,20,20,4,9,4,3,0,0,0,16,15,1,2,10,0,2,4
53386342,0,,,287,141,146,35,20,15,252,121,131,151,72,79,244,119,125,101,49,52,36,16,20,1,0,1,126,126,33,57,18,9,6,1,2,93,87,6,8,68,0,16,30
53386343,0,,,255,125,130,27,15,12,228,110,118,133,67,66,214,104,110,95,43,52,40,18,22,2,0,2,101,101,23,43,14,10,7,1,3,77,63,14,5,63,0,15,21
53386344,0,,,155,71,84,11,4,7,144,67,77,78,41,37,137,62,75,66,26,40,46,16,30,3,0,3,57,57,12,19,10,9,3,4,0,43,23,20,1,48,0,11,7
53386346,0,,,46,25,21,1,0,1,45,25,20,23,17,6,43,25,18,22,8,14,17,5,12,1,0,1,21,21,9,5,3,3,0,1,0,12,11,1,0,16,0,7,2
53386350,0,,,79,41,38,5,2,3,74,39,35,36,15,21,72,37,35,38,24,14,18,10,8,0,0,0,39,39,10,20,7,2,0,0,0,28,28,0,0,27,0,7,13
53386351,0,,,161,74,87,15,7,8,146,67,79,83,34,49,138,64,74,63,33,30,17,9,8,10,0,10,74,74,21,33,11,5,3,1,0,53,50,3,2,42,6,10,20
53386352,0,,,298,144,154,32,14,18,266,130,136,140,71,69,256,121,135,126,59,67,50,22,28,1,1,0,137,137,41,60,16,13,5,2,0,95,86,9,6,84,2,24,36
53386353,0,,,262,122,140,25,12,13,237,110,127,135,58,77,229,105,124,102,52,50,31,17,14,5,1,4,115,115,22,64,16,5,5,2,1,92,82,10,5,67,4,9,36
53386354,0,,,32,18,14,3,1,2,29,17,12,13,8,5,29,17,12,16,9,7,5,4,1,1,1,0,15,15,4,6,4,1,0,0,0,11,11,0,0,10,2,1,5
53386355,0,,,52,26,26,8,5,3,44,21,23,28,12,16,40,19,21,16,9,7,9,5,4,1,1,0,15,15,1,4,2,4,3,1,0,14,9,5,1,12,0,1,3
53386356,0,,,16,7,9,0,0,0,16,7,9,7,4,3,16,7,9,9,3,6,8,2,6,0,0,0,9,9,4,3,2,0,0,0,0,5,5,0,0,7,0,4,3
