pop,ISO3
576,ROU
1940,RUS
607,RWA
1090,SAU
684,SDN
691,SEN
1120,SGP
504,SLB
1010,SLE
1210,SLV
1960,SMR
966,SOM
1790,SRB
705,SSD
1080,STP
2270,SUR
1740,
2140,SVN
1950,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
775,TJK
1320,TKM
727,TLS
920,TON
1720,TTO
948,TUN
1330,TUR
998,TUV
1340,TWN
592,TZA
662,UGA
1070,UKR
2580,URY
3600,USA
743,UZB
1160,VCT
1470,VEN
1170,VNM
813,VUT
1940,WSM
1230,YEM
2050,ZAF
651,ZMB
1170,ZWE
583,AFG
460,AGO
576,ALB
1670,AND
1410,ARE
2090,ARG
721,ARM
1050,ATG
1020,AUS
2390,AUT
879,AZE
647,BDI
3240,BEL
1010,BEN
729,BFA
935,BGD
1390,BGR
1050,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
440,BWA
593,CAF
1760,CAN
2690,CHE
1180,CHL
1270,CHN
708,
729,CMR
430,
704,
1280,COL
720,COM
597,CPV
1110,CRI
888,CUB
1180,CYP
1980,CZE
2180,DEU
1150,DJI
652,DMA
2500,DNK
791,DOM
930,DZA
635,ECU
1320,EGY
738,ERI
2070,ESP
1940,EST
868,ETH
1710,FIN
1090,FJI
2490,FRA
720,
608,GAB
4450,GBR
944,GEO
923,GHA
527,GIN
967,GMB
596,GNB
443,GNQ
1600,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1130,HRV
880,HTI
1530,HUN
1230,IDN
1410,IND
1640,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3650,ITA
1550,JAM
1220,JOR
1830,JPN
1430,KAZ
894,KEN
726,
869,KHM
767,KIR
1620,
1130,KOR
1550,KWT
1030,
1480,LBN
1130,LBR
1250,LBY
784,
1220,LKA
533,LSO
1680,LTU
2190,LUX
1180,LVA
967,MAR
2720,MCO
895,MDA
628,MDG
1170,MDV
1720,MEX
749,MHL
868,MKD
847,MLI
1080,MLT
1110,MMR
1430,MNE
597,MNG
502,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
727,NAM
637,NER
1150,NGA
1350,NIC
6170,NLD
1870,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1360,PER
1290,PHL
1160,PLW
759,PNG
1140,POL
1060,
2040,PRT
1080,PRY
1200,
1550,QAT
576,ROU
1940,RUS
610,RWA
1090,SAU
684,SDN
692,SEN
1120,SGP
504,SLB
1010,SLE
1210,SLV
1960,SMR
966,SOM
1790,SRB
705,SSD
1080,STP
2270,SUR
1740,
2140,SVN
1820,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
776,TJK
1330,TKM
729,TLS
920,TON
1720,TTO
948,TUN
1330,TUR
998,TUV
1340,TWN
592,TZA
662,UGA
1070,UKR
2590,URY
3590,USA
743,UZB
1160,VCT
1460,VEN
1170,VNM
813,VUT
1940,WSM
1240,YEM
2030,ZAF
653,ZMB
1170,ZWE
583,AFG
462,AGO
577,ALB
1680,AND
1410,ARE
2100,ARG
723,ARM
1050,ATG
1020,AUS
2400,AUT
880,AZE
647,BDI
3240,BEL
1010,BEN
731,BFA
935,BGD
1390,BGR
1050,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
441,BWA
593,CAF
1770,CAN
2700,CHE
1180,CHL
1270,CHN
708,
731,CMR
430,
706,
1270,COL
722,COM
597,CPV
1110,CRI
895,CUB
1180,CYP
1980,CZE
2180,DEU
1150,DJI
652,DMA
2500,DNK
791,DOM
931,DZA
635,ECU
1320,EGY
738,ERI
2080,ESP
1940,EST
868,ETH
1720,FIN
1090,FJI
2490,FRA
720,
610,GAB
4640,GBR
944,GEO
923,GHA
527,GIN
967,GMB
596,GNB
444,GNQ
1610,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1140,HRV
880,HTI
1530,HUN
1220,IDN
1410,IND
1650,IRL
1220,IRN
