year,pop,ISO3
1802,1.01M,DNK
1802,142k,DOM
1802,2.52M,DZA
1802,500k,ECU
1802,3.56M,EGY
1802,205k,ERI
1802,11.6M,ESP
1802,334k,EST
1802,12M,ETH
1802,831k,FIN
1802,131k,FJI
1802,29.2M,FRA
1802,16.4k,
1802,158k,GAB
1802,11M,GBR
1802,1.07M,GEO
1802,2.02M,GHA
1802,984k,GIN
1802,103k,GMB
1802,218k,GNB
1802,80.4k,GNQ
1802,2.26M,GRC
1802,29.4k,GRD
1802,475k,GTM
1802,166k,GUY
1802,20k,
1802,130k,HND
1802,905,
1802,1.23M,HRV
1802,519k,HTI
1802,3.33M,HUN
1802,16.2M,IDN
1802,202M,IND
1802,5.41M,IRL
1802,6.05M,IRN
1802,1.01M,IRQ
1802,61.4k,ISL
1802,210k,ISR
1802,19.1M,ITA
1802,309k,JAM
1802,202k,JOR
1802,28.3M,JPN
1802,2.04M,KAZ
1802,2.6M,KEN
1802,530k,
1802,2.09M,KHM
1802,17.9k,KIR
1802,17.2k,
1802,9.39M,KOR
1802,81.3k,KWT
1802,470k,
1802,303k,LBN
1802,314k,LBR
1802,230k,LBY
1802,24k,
1802,5800,LIE
1802,1.69M,LKA
1802,276k,LSO
1802,779k,LTU
1802,127k,LUX
1802,591k,LVA
1802,2.52M,MAR
1802,7790,MCO
1802,713k,MDA
1802,1.52M,MDG
1802,42.4k,MDV
1802,5.23M,MEX
1802,5830,MHL
1802,392k,MKD
1802,1.4M,MLI
1802,134k,MLT
1802,5.69M,MMR
1802,127k,MNE
1802,602k,MNG
1802,2.01M,MOZ
1802,383k,MRT
1802,62.4k,MUS
1802,769k,MWI
1802,287k,MYS
1802,223k,NAM
1802,853k,NER
1802,12.1M,NGA
1802,186k,NIC
1802,2.01M,NLD
1802,897k,NOR
1802,3.99M,NPL
1802,1830,NRU
1802,187k,NZL
1802,302k,OMN
1802,13.2M,PAK
1802,76.7k,PAN
1802,1.28M,PER
1802,2.37M,PHL
1802,3880,PLW
1802,755k,PNG
1802,9.13M,POL
1802,4.34M,
1802,2.8M,PRT
1802,279k,PRY
1802,166k,
1802,14.1k,QAT
1802,5.58M,ROU
1802,31.3M,RUS
1802,928k,RWA
1802,2.01M,SAU
1802,4M,SDN
1802,1.01M,SEN
1802,30k,SGP
1802,57k,SLB
1802,794k,SLE
1802,229k,SLV
1802,5490,SMR
1802,990k,SOM
1802,2.15M,SRB
1802,1.03M,SSD
1802,22.7k,STP
1802,80.7k,SUR
1802,2.14M,
1802,470k,SVN
1802,2.48M,SWE
1802,85.1k,SWZ
1802,12.5k,SYC
1802,1.26M,SYR
1802,1.44M,TCD
1802,446k,TGO
1802,3.14M,THA
1802,467k,TJK
1802,367k,TKM
1802,137k,TLS
1802,18.6k,TON
1802,22.3k,TTO
1802,807k,TUN
1802,9.79M,TUR
1802,2500,TUV
1802,2M,TWN
1802,3M,TZA
1802,2.46M,UGA
1802,11.2M,UKR
1802,55k,URY
1802,6.23M,USA
1802,1.92M,UZB
1802,25.8k,VCT
1802,957k,VEN
1802,4.2M,VNM
1802,27.8k,VUT
1802,47.3k,WSM
1802,2.59M,YEM
1802,1.46M,ZAF
1802,770k,ZMB
1802,1.09M,ZWE
1803,3.28M,AFG
1803,1.57M,AGO
1803,405k,ALB
1803,2650,AND
1803,40.2k,ARE
1803,492k,ARG
1803,413k,ARM
1803,37k,ATG
1803,216k,AUS
1803,3.05M,AUT
1803,880k,AZE
1803,899k,BDI
1803,3.28M,BEL
1803,637k,BEN
1803,1.67M,BFA
1803,19.3M,BGD
1803,2.24M,BGR
1803,64.5k,BHR
1803,27.4k,BHS
1803,852k,BIH
1803,2.36M,BLR
1803,25.5k,BLZ
1803,916k,BOL
1803,2.73M,BRA
1803,81.7k,BRB
1803,2260,BRN
1803,392k,BTN
1803,120k,BWA
1803,479k,CAF
1803,538k,CAN
1803,1.78M,CHE
1803,771k,CHL
1803,335M,CHN
1803,1.09M,
1803,1.86M,CMR
1803,5.16M,
1803,314k,
1803,1.21M,COL
1803,56.3k,COM
1803,55.7k,CPV
1803,54.4k,CRI
1803,340k,CUB
1803,184k,CYP
1803,5.52M,CZE
1803,18.9M,DEU
1803,22.8k,DJI
1803,19.9k,DMA
1803,1.02M,DNK
1803,139k,DOM
1803,2.53M,DZA
1803,500k,ECU
1803,3.6M,EGY
1803,205k,ERI
1803,11.6M,ESP
1803,334k,EST
1803,12M,ETH
1803,847k,FIN
1803,131k,FJI
1803,29.3M,FRA
1803,16.4k,
1803,158k,GAB
1803,11.1M,GBR
1803,1.07M,GEO
1803,2.02M,GHA
1803,984k,GIN
1803,103k,GMB
1803,218k,GNB
1803,80.4k,GNQ
1803,2.26M,GRC
1803,29.4k,GRD
1803,481k,GTM
1803,166k,GUY
1803,20k,
1803,131k,HND
1803,905,
1803,1.23M,HRV
1803,528k,HTI
1803,3.37M,HUN
1803,16.2M,IDN
1803,202M,IND
1803,5.49M,IRL
1803,6.08M,IRN
1803,1.01M,IRQ
1803,61.4k,ISL
1803,210k,ISR
1803,19.2M,ITA
1803,313k,JAM
1803,202k,JOR
1803,28.4M,JPN
1803,2.04M,KAZ
1803,2.62M,KEN
1803,530k,
1803,2.09M,KHM
1803,17.9k,KIR
1803,17.2k,
