year,gdp,ISO3
1804,749,MHL
1804,868,MKD
1804,847,MLI
1804,1080,MLT
1804,1110,MMR
1804,1430,MNE
1804,597,MNG
1804,502,MOZ
1804,652,MRT
1804,1440,MUS
1804,530,MWI
1804,1330,MYS
1804,727,NAM
1804,637,NER
1804,1150,NGA
1804,1350,NIC
1804,6170,NLD
1804,1870,NOR
1804,890,NPL
1804,769,NRU
1804,1140,NZL
1804,490,OMN
1804,1300,PAK
1804,1110,PAN
1804,1360,PER
1804,1290,PHL
1804,1160,PLW
1804,759,PNG
1804,1140,POL
1804,1060,
1804,2040,PRT
1804,1080,PRY
1804,1200,
1804,1550,QAT
1804,576,ROU
1804,1940,RUS
1804,610,RWA
1804,1090,SAU
1804,684,SDN
1804,692,SEN
1804,1120,SGP
1804,504,SLB
1804,1010,SLE
1804,1210,SLV
1804,1960,SMR
1804,966,SOM
1804,1790,SRB
1804,705,SSD
1804,1080,STP
1804,2270,SUR
1804,1740,
1804,2140,SVN
1804,1820,SWE
1804,644,SWZ
1804,1100,SYC
1804,1500,SYR
1804,504,TCD
1804,913,TGO
1804,1260,THA
1804,776,TJK
1804,1330,TKM
1804,729,TLS
1804,920,TON
1804,1720,TTO
1804,948,TUN
1804,1330,TUR
1804,998,TUV
1804,1340,TWN
1804,592,TZA
1804,662,UGA
1804,1070,UKR
1804,2590,URY
1804,3590,USA
1804,743,UZB
1804,1160,VCT
1804,1460,VEN
1804,1170,VNM
1804,813,VUT
1804,1940,WSM
1804,1240,YEM
1804,2030,ZAF
1804,653,ZMB
1804,1170,ZWE
1805,583,AFG
1805,462,AGO
1805,577,ALB
1805,1680,AND
1805,1410,ARE
1805,2100,ARG
1805,723,ARM
1805,1050,ATG
1805,1020,AUS
1805,2400,AUT
1805,880,AZE
1805,647,BDI
1805,3240,BEL
1805,1010,BEN
1805,731,BFA
1805,935,BGD
1805,1390,BGR
1805,1050,BHR
1805,2010,BHS
1805,1200,BIH
1805,1110,BLR
1805,804,BLZ
1805,1120,BOL
1805,1200,BRA
1805,1590,BRB
1805,2100,BRN
1805,874,BTN
1805,441,BWA
1805,593,CAF
1805,1770,CAN
1805,2700,CHE
1805,1180,CHL
1805,1270,CHN
1805,708,
1805,731,CMR
1805,430,
1805,706,
1805,1270,COL
1805,722,COM
1805,597,CPV
1805,1110,CRI
1805,895,CUB
1805,1180,CYP
1805,1980,CZE
1805,2180,DEU
1805,1150,DJI
1805,652,DMA
1805,2500,DNK
1805,791,DOM
1805,931,DZA
1805,635,ECU
1805,1320,EGY
1805,738,ERI
1805,2080,ESP
1805,1940,EST
1805,868,ETH
1805,1720,FIN
1805,1090,FJI
1805,2490,FRA
1805,720,
1805,610,GAB
1805,4640,GBR
1805,944,GEO
