year,life span,ISO3
1805,43.0,DNK
1805,29.9,DOM
1805,28.8,DZA
1805,32.9,ECU
1805,33.0,EGY
1805,30.2,ERI
1805,29.5,ESP
1805,33.9,EST
1805,29.7,ETH
1805,39.8,FIN
1805,26.1,FJI
1805,34.9,FRA
1805,26.7,
1805,30.6,GAB
1805,42.3,GBR
1805,31.9,GEO
1805,28.0,GHA
1805,29.6,GIN
1805,28.8,GMB
1805,32.0,GNB
1805,29.8,GNQ
1805,36.6,GRC
1805,31.4,GRD
1805,25.8,GTM
1805,31.1,GUY
1805,34.9,
1805,33.9,HND
1805,36.1,HRV
1805,29.0,HTI
1805,36.0,HUN
1805,30.0,IDN
1805,25.4,IND
1805,38.3,IRL
1805,25.6,IRN
1805,31.2,IRQ
1805,30.9,ISL
1805,32.0,ISR
1805,29.7,ITA
1805,34.2,JAM
1805,31.7,JOR
1805,36.4,JPN
1805,26.2,KAZ
1805,25.5,KEN
1805,23.9,
1805,35.0,KHM
1805,24.9,KIR
1805,,
1805,25.8,KOR
1805,26.0,KWT
1805,31.9,
1805,29.7,LBN
1805,31.1,LBR
1805,33.1,LBY
1805,28.0,
1805,32.6,LKA
1805,32.8,LSO
1805,28.9,LTU
1805,36.9,LUX
1805,33.0,LVA
1805,33.1,MAR
1805,,MCO
1805,33.1,MDA
1805,30.5,MDG
1805,32.6,MDV
1805,26.9,MEX
1805,,MHL
1805,36.1,MKD
1805,26.4,MLI
1805,28.7,MLT
1805,30.8,MMR
1805,35.4,MNE
1805,31.8,MNG
1805,30.3,MOZ
1805,32.0,MRT
1805,28.7,MUS
1805,30.3,MWI
1805,30.6,MYS
1805,32.4,NAM
1805,30.8,NER
1805,30.4,NGA
1805,25.4,NIC
1805,39.9,NLD
1805,44.3,NOR
1805,32.8,NPL
1805,,NRU
1805,34.0,NZL
1805,32.3,OMN
1805,25.8,PAK
1805,32.9,PAN
1805,35.7,PER
1805,30.9,PHL
1805,,PLW
1805,31.5,PNG
1805,35.9,POL
1805,26.0,
1805,35.6,PRT
1805,35.5,PRY
1805,32.1,
1805,30.8,QAT
1805,35.7,ROU
1805,29.6,RUS
1805,31.8,RWA
1805,32.1,SAU
1805,31.4,SDN
1805,25.2,SEN
1805,29.1,SGP
1805,25.1,SLB
1805,25.1,SLE
1805,28.7,SLV
1805,,SMR
1805,29.4,SOM
1805,35.5,SRB
1805,26.7,SSD
1805,31.0,STP
1805,32.9,SUR
1805,36.4,
1805,36.6,SVN
1805,41.0,SWE
1805,32.3,SWZ
1805,37.0,SYC
1805,31.1,SYR
1805,30.9,TCD
1805,31.3,TGO
1805,30.4,THA
1805,24.2,TJK
1805,24.0,TKM
1805,28.9,TLS
1805,28.2,TON
1805,32.9,TTO
1805,28.8,TUN
1805,35.0,TUR
1805,,TUV
1805,28.3,TWN
1805,32.2,TZA
1805,25.3,UGA
1805,36.6,UKR
1805,32.9,URY
1805,39.4,USA
1805,26.9,UZB
1805,26.0,VCT
1805,32.2,VEN
1805,32.0,VNM
1805,24.3,VUT
1805,25.4,WSM
1805,23.4,YEM
1805,33.5,ZAF
1805,32.6,ZMB
1805,33.7,ZWE
1806,28.1,AFG
1806,27.0,AGO
1806,35.4,ALB
1806,,AND
1806,30.7,ARE
1806,33.2,ARG
1806,34.0,ARM
1806,33.5,ATG
1806,34.0,AUS
1806,34.4,AUT
1806,29.2,AZE
1806,31.5,BDI
1806,40.0,BEL
1806,31.0,BEN
1806,29.2,BFA
1806,25.5,BGD
1806,36.1,BGR
1806,30.3,BHR
1806,35.2,BHS
1806,35.1,BIH
1806,36.2,BLR
1806,26.5,BLZ
1806,33.0,BOL
1806,32.0,BRA
1806,32.1,BRB
1806,29.2,BRN
1806,28.8,BTN
1806,33.6,BWA
1806,30.0,CAF
1806,39.0,CAN
1806,38.0,CHE
1806,32.0,CHL
1806,32.0,CHN
1806,31.2,
1806,28.8,CMR
1806,31.6,
1806,32.7,
1806,32.0,COL
1806,32.1,COM
1806,33.8,CPV
1806,30.2,CRI
1806,33.0,CUB
1806,38.5,CYP
1806,35.0,CZE
1806,38.4,DEU
1806,29.9,DJI
1806,,DMA
1806,43.8,DNK
1806,29.9,DOM
1806,28.8,DZA
1806,32.9,ECU
1806,33.0,EGY
1806,30.2,ERI
1806,29.5,ESP
1806,34.1,EST
1806,29.7,ETH
1806,38.8,FIN
1806,26.1,FJI
1806,35.0,FRA
1806,26.7,
1806,30.6,GAB
1806,43.2,GBR
1806,31.9,GEO
1806,28.0,GHA
1806,29.6,GIN
1806,28.8,GMB
1806,32.0,GNB
1806,29.8,GNQ
1806,36.6,GRC
1806,31.4,GRD
1806,25.8,GTM
1806,31.1,GUY
1806,34.9,
1806,33.9,HND
1806,36.1,HRV
1806,29.0,HTI
1806,36.0,HUN
1806,30.0,IDN
1806,25.4,IND
1806,38.3,IRL
1806,25.6,IRN
1806,31.2,IRQ
1806,45.8,ISL
1806,32.0,ISR
1806,29.7,ITA
1806,34.2,JAM
1806,31.7,JOR
1806,36.4,JPN
1806,26.2,KAZ
1806,25.5,KEN
1806,23.9,
1806,35.0,KHM
1806,24.9,KIR
1806,,
1806,25.8,KOR
1806,26.0,KWT
1806,31.9,
1806,29.7,LBN
1806,31.1,LBR
1806,33.1,LBY
1806,28.0,
1806,32.6,LKA
1806,32.8,LSO
1806,28.9,LTU
1806,36.9,LUX
1806,33.0,LVA
1806,33.1,MAR
1806,,MCO
1806,33.1,MDA
1806,30.5,MDG
1806,32.6,MDV
1806,26.9,MEX
1806,,MHL
1806,36.1,MKD
1806,26.4,MLI
1806,28.7,MLT
1806,30.8,MMR
1806,35.4,MNE
1806,31.8,MNG
1806,30.3,MOZ
1806,32.0,MRT
1806,28.7,MUS
1806,30.3,MWI
1806,30.6,MYS
1806,32.4,NAM
1806,30.8,NER
1806,30.4,NGA
1806,25.4,NIC
1806,39.9,NLD
1806,43.8,NOR
1806,32.8,NPL
1806,,NRU
1806,34.0,NZL
1806,32.3,OMN
1806,25.8,PAK
1806,32.9,PAN
1806,35.7,PER
1806,30.9,PHL
1806,,PLW
1806,31.5,PNG
1806,35.9,POL
1806,26.0,
