pop,ISO3
56.3k,COM
55.7k,CPV
54.4k,CRI
340k,CUB
184k,CYP
5.52M,CZE
18.9M,DEU
22.8k,DJI
19.9k,DMA
1.02M,DNK
139k,DOM
2.53M,DZA
500k,ECU
3.6M,EGY
205k,ERI
11.6M,ESP
334k,EST
12M,ETH
847k,FIN
131k,FJI
29.3M,FRA
16.4k,
158k,GAB
11.1M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.26M,GRC
29.4k,GRD
481k,GTM
166k,GUY
20k,
131k,HND
905,
1.23M,HRV
528k,HTI
3.37M,HUN
16.2M,IDN
202M,IND
5.49M,IRL
6.08M,IRN
1.01M,IRQ
61.4k,ISL
210k,ISR
19.2M,ITA
313k,JAM
202k,JOR
28.4M,JPN
2.04M,KAZ
2.62M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
305k,LBN
314k,LBR
230k,LBY
24k,
5800,LIE
1.66M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.53M,MAR
7790,MCO
713k,MDA
1.53M,MDG
42.4k,MDV
5.3M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
5.54M,MMR
127k,MNE
603k,MNG
2.01M,MOZ
383k,MRT
64.2k,MUS
786k,MWI
287k,MYS
220k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.01M,NLD
895k,NOR
3.98M,NPL
1830,NRU
180k,NZL
303k,OMN
13.2M,PAK
77.3k,PAN
1.28M,PER
2.31M,PHL
3880,PLW
755k,PNG
9.2M,POL
4.34M,
2.83M,PRT
268k,PRY
166k,
14.1k,QAT
5.63M,ROU
31.3M,RUS
928k,RWA
2.01M,SAU
4.01M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
219k,SLV
5490,SMR
990k,SOM
2.15M,SRB
1.03M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.47M,SWE
84.7k,SWZ
12.5k,SYC
1.26M,SYR
1.45M,TCD
446k,TGO
3.21M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
23.6k,TTO
811k,TUN
9.81M,TUR
2500,TUV
2M,TWN
3M,TZA
2.44M,UGA
11.2M,UKR
55k,URY
6.35M,USA
1.92M,UZB
25.8k,VCT
936k,VEN
4.31M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.46M,ZAF
782k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
407k,ALB
2650,AND
40.2k,ARE
479k,ARG
413k,ARM
37k,ATG
222k,AUS
3.07M,AUT
880k,AZE
899k,BDI
3.29M,BEL
637k,BEN
1.67M,BFA
19.3M,BGD
2.24M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
926k,BOL
2.81M,BRA
81.7k,BRB
2260,BRN
392k,BTN
119k,BWA
479k,CAF
551k,CAN
1.79M,CHE
771k,CHL
336M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
54.9k,CRI
366k,CUB
184k,CYP
5.52M,CZE
19.2M,DEU
22.8k,DJI
19.9k,DMA
1.03M,DNK
135k,DOM
2.54M,DZA
500k,ECU
3.63M,EGY
205k,ERI
11.6M,ESP
334k,EST
12M,ETH
863k,FIN
131k,FJI
29.4M,FRA
16.4k,
158k,GAB
11.2M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.26M,GRC
29.4k,GRD
488k,GTM
166k,GUY
20k,
131k,HND
905,
1.23M,HRV
538k,HTI
3.41M,HUN
16.3M,IDN
202M,IND
5.58M,IRL
6.11M,IRN
1.02M,IRQ
61.4k,ISL
210k,ISR
19.2M,ITA
318k,JAM
203k,JOR
28.6M,JPN
2.04M,KAZ
2.63M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
306k,LBN
314k,LBR
231k,LBY
24k,
5800,LIE
1.63M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.54M,MAR
7790,MCO
713k,MDA
1.53M,MDG
42.4k,MDV
5.37M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
5.39M,MMR
127k,MNE
604k,MNG
2.02M,MOZ
383k,MRT
66k,MUS
803k,MWI
287k,MYS
217k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.02M,NLD
894k,NOR
3.98M,NPL
1830,NRU
174k,NZL
304k,OMN
13.2M,PAK
77.8k,PAN
1.28M,PER
2.26M,PHL
3880,PLW
755k,PNG
9.27M,POL
4.34M,
2.85M,PRT
259k,PRY
166k,
14.1k,QAT
5.67M,ROU
31.3M,RUS
928k,RWA
2.02M,SAU
4.02M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
211k,SLV
5490,SMR
991k,SOM
2.15M,SRB
1.03M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.46M,SWE
84.2k,SWZ
12.5k,SYC
1.27M,SYR
1.46M,TCD
446k,TGO
3.28M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
24.9k,TTO
814k,TUN
9.82M,TUR
2500,TUV
2M,TWN
3M,TZA
2.41M,UGA
11.2M,UKR
55k,URY
6.47M,USA
1.92M,UZB
25.8k,VCT
916k,VEN
4.41M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.47M,ZAF
794k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
409k,ALB
2650,AND
40.2k,ARE
466k,ARG
413k,ARM
37k,ATG
227k,AUS
3.09M,AUT
880k,AZE
899k,BDI
3.3M,BEL
637k,BEN
1.67M,BFA
19.4M,BGD
2.23M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
936k,BOL
2.9M,BRA
81.7k,BRB
2260,BRN
392k,BTN
119k,BWA
479k,CAF
565k,CAN
1.81M,CHE
771k,CHL
338M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
55.3k,CRI
394k,CUB
184k,CYP
5.52M,CZE
19.5M,DEU
22.8k,DJI
19.9k,DMA
1.04M,DNK
132k,DOM
2.55M,DZA
500k,ECU
3.66M,EGY
205k,ERI
11.7M,ESP
334k,EST
12M,ETH
880k,FIN
132k,FJI
29.5M,FRA
16.4k,
158k,GAB
11.3M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.27M,GRC
29.4k,GRD
494k,GTM
166k,GUY
20k,
131k,HND
905,
1.23M,HRV
548k,HTI
3.45M,HUN
